sample_id,text,gold_label,plain_pred,crypten_pred,mcu_pred,plain_prob_neg,plain_prob_pos,crypten_prob_neg,crypten_prob_pos,mcu_prob_neg,mcu_prob_pos,plain_latency_s,crypten_latency_s,mcu_latency_s,crypten_matches_plain,mcu_matches_plain,js_plain_vs_crypten,js_plain_vs_mcu
0,This movie is wonderful and heartwarming.,1,negative,negative,,0.7627186179161072,0.2372814416885376,0.7664031982421875,0.2336273193359375,,,0.12010741233825684,16.58313250541687,,1,,9.30815690152755e-06,
1,"A complete waste of time, absolutely terrible.",0,negative,negative,,0.7376422882080078,0.2623577415943146,0.7498931884765625,0.2501220703125,,,0.22572565078735352,11.823055744171143,,1,,9.826308591083174e-05,
2,I loved every minute of it!,1,negative,negative,,0.6763930916786194,0.3236069083213806,0.70013427734375,0.29986572265625,,,0.14309382438659668,11.433478593826294,,1,,0.0003284366040325736,
3,Terrible and boring film.,0,negative,negative,,0.752723753452301,0.2472761869430542,0.77606201171875,0.22393798828125,,,0.24673891067504883,8.959161758422852,,1,,0.0003781638592084838,
4,Brilliant acting and a great story.,1,negative,negative,,0.7587437033653259,0.24125634133815765,0.775390625,0.224639892578125,,,0.14844560623168945,11.945716857910156,,1,,0.0001933469615848487,
5,A delightful film with amazing performances.,1,negative,negative,,0.7659940123558044,0.23400597274303436,0.78228759765625,0.21771240234375,,,0.1049354076385498,9.280943870544434,,1,,0.0001898277673187303,
6,"Boring, predictable, and poorly acted.",0,negative,negative,,0.7455769777297974,0.25442302227020264,0.7727813720703125,0.22723388671875,,,0.14841032028198242,11.376695156097412,,1,,0.0005057628336352015,
7,I hated this film from start to finish.,0,negative,negative,,0.7392811179161072,0.26071885228157043,0.7577667236328125,0.24224853515625,,,0.2504432201385498,14.317184686660767,,1,,0.00022667300873737296,
8,Painfully slow and utterly pointless.,0,negative,negative,,0.739094614982605,0.260905385017395,0.75555419921875,0.2444610595703125,,,0.12018036842346191,10.275043725967407,,1,,0.0001791099287048398,
9,Nothing made sense and it was dull.,0,negative,negative,,0.7316734790802002,0.2683265209197998,0.75628662109375,0.2437286376953125,,,0.12804913520812988,11.65545392036438,,1,,0.0003973056541779797,
